‾	ۇستىڭگى سىزىق
⇊	ەكى تومەن كورسەتكى
⇋	وڭ جاق سۇڭگىنىڭ ۇستىندەگى سول جاق سۇڭگى
⇌	سول جاق سۇڭگىنىڭ ۇستىندەگى وڭ جاق سۇڭگى
⇐	سول جاق قوسارلى كورسەتكى
⇍	ءشتريحى بار سول جاق قوسارلى كورسەتكى
⇑	جوعارى قوسارلى كورسەتكى
⇒	وڭ جاق قوسارلى كورسەتكى
⇏	ءشتريحى بار وڭ جاق قوسارلى كورسەتكى
⇓	تومەن قوسارلى كورسەتكى
⇔	سول جانە وڭ جاق قوسارلى كورسەتكى
⇎	ءشتريحى بار سول جانە وڭ جاق قوسارلى كورسەتكى
⇖	سولتۇستىك-باتىس باعىتتاعى قوسارلى كورسەتكى
⇗	سولتۇستىك-شىعىس باعىتتاعى قوسارلى كورسەتكى
⇘	وڭتۇستىك-شىعىس باعىتتاعى قوسارلى كورسەتكى
⇙	وڭتۇستىك-باتىس باعىتتاعى قوسارلى كورسەتكى
⇚	سول جاق ۇشتىك كورسەتكى
⇛	وڭ جاق ۇشتىك كورسەتكى
⇜	سول جاق يرەكتەلگەن كورسەتكى
⇝	وڭ جاق يرەكتەلگەن كورسەتكى
⇞	قوسارلى ءشتريحى بار جوعارى كورسەتكى
⇟	قوسارلى ءشتريحى بار تومەن كورسەتكى
⇠	سول جاق پۋنكتيرلى كورسەتكى
⇡	جوعارى پۋنكتيرلى كورسەتكى
⇢	وڭ جاق پۋنكتيرلى كورسەتكى
⇣	تومەن پۋنكتيرلى كورسەتكى
⇤	سول جاعىندا سىزىقشاسى بار سول جاق كورسەتكى
⇥	وڭ جاعىندا سىزىقشاسى بار وڭ جاق كورسەتكى
⇦	ءىشى قۋىس سول جاق كورسەتكى
⇧	ءىشى قۋىس جوعارى كورسەتكى
⇨	ءىشى قۋىس وڭ جاق كورسەتكى
⇩	ءىشى قۋىس تومەن كورسەتكى
⇪	ءىشى قۋىس جوعارى پۋنكتيرلى كورسەتكى
⇵	جوعارى كورسەتكىنىڭ سول جاعىنداعى تومەن كورسەتكى
∀	بارلىعى ءۇشىن
∂	ءىشىنارا ديففەرەنسيال
∃	بار
∅	بوس جيىن
∆	ءوسۋ, ءۇشبۇرىش
∇	ءۇشبۇرىش, نابلا
∈	جيناق, قۇرايدى, مۇشەلىك, ەلەمەنت
∉	ەلەمەنت ەمەس
∋	مۇشەنى قامتيدى
∎	q e d
∏	n-ءشى كوبەيتىندى
∑	n-ءشى قوسىندى
+	قوسۋ تاڭباسى
±	پليۋس-مينۋس
÷	ءبولۋ, ءبولۋ بەلگىسى, كرەستيك
×	رەت, كوبەيتۋ, كوبەيتۋ بەلگىسى
<	تەگ, سول تەگ, كىشىرەك
≮	كەم ەمەس
=	تەڭ
≠	تەڭ ەمەس
>	تەگ, وڭ تەگ, ۇلكەنىرەك
≯	ۇلكەن ەمەس
¬	تەرىسكە شىعارۋ
|	تىك جولاق, تىك سىزىق, جولاق, سىزىق, سىزىقشا, شتريح
~	تيلدا
−	ازايتۋ تاڭباسى
⁻	مينۋس, ۇستىڭگى مينۋس يندەكسى, ۇستىڭگى يندەكس
∓	مينۋس نەمەسە پليۋس
∕	ءبولۋ قيعاش سىزىعى
⁄	بولشەك سىزىعى
∗	جۇلدىزشا وپەراتورى
∘	ساقينا وپەراتورى
∙	نۇكتە تۇرىندەگى كوبەيتۋ تاڭباسى, نۇكتە وپەراتورى
√	ءتۇبىر, راديكال, شارشى, كۆادرات ءتۇبىر, نەگىز, يرراسيونال
∝	پروپورcيونال
∞	شەكسىزدىك, شەكسىزدىك بەلگىسى
∟	تىك بۇرىش
∠	بۇرىش
∣	بولەدى
∥	پارالەل
∧	لوگيكالىق "جانە"
∩	جيناق, قيىلىسۋ
∪	توپتاما, جيناق, وداق
∫	ينتەگرال
∬	قوس ينتەگرال
∮	كونتۋرلى ينتەگرال
∴	سوندىقتان
∵	سەبەبى
∶	ارا قاتىناس
∷	پروپورcيا
∼	تيلدا وپەراتورى
∽	كەرى تيلدا
∾	كەرى جاتىق s
≃	شارتتى تەڭ
≅	شامامەن تەڭ
≈	تەڭ دەرلىك
≌	بارلىعى تەڭ
≒	"شامامەن تەڭ" كەسكىنى
≖	تەڭدىك بەلگىسىنىڭ ىشىندەگى ساقينا
≡	ءدال, ءۇش, بىردەي
≣	قاتاڭ ەكۆيۆالەنتتى
≤	تەڭ, تەڭسىزدىك, كىشىرەك, كىشىرەك نەمەسە تەڭ
≥	تەڭ, تەڭسىزدىك, ۇلكەنىرەك, ۇلكەنىرەك نەمەسە تەڭ
≦	كەم نەمەسە تەڭ
≧	ۇلكەن نەمەسە تەڭ
≪	الدەقايدا كەم
≫	الدەقايدا ۇلكەن
≬	ارالىعىندا
≳	ۇلكەن نەمەسە ەكۆيۆالەنتتى
≺	الدىندا كەلەدى
≻	ارتىندا كەلەدى
⊁	ارتىندا كەلمەيدى
⊂	جيناق, ىشكى جيناعى, ىشكى جيناق
⊃	باستى جيىن
⊆	ىشكى جيىنعا تەڭ
⊇	باستى جيىنعا تەڭ
⊕	شەڭبەر ىشىندەگى قوسۋ تاڭباسى
⊖	شەڭبەر ىشىندەگى الۋ تاڭباسى
⊗	شەڭبەر ىشىندەگى كوبەيتۋ تاڭباسى
⊘	شەڭبەر ىشىندەگى ءبولۋ تاڭباسى
⊙	شەڭبەر ىشىندەگى نۇكتە وپەراتورى
⊚	نۇكتە ىشىندەگى ساقينا وپەراتورى
⊛	نۇكتە ىشىندەگى جۇلدىزشا وپەراتورى
⊞	كۆادرات ىشىندەگى قوسۋ تاڭباسى
⊟	كۆادرات ىشىندەگى الۋ تاڭباسى
⊥	پەرپەنديكۋليارلىق تاڭباسى
⊮	"شاقىرمايدى" تاڭباسى
⊰	قاتىناسپەن الدىندا بولادى
⊱	قاتىناسپەن سوڭىندا بولادى
⋭	قالىپتى ىشكى توپ رەتىندە قامتىمايدى نەمەسە تەڭ
⊶	باستاپقى
⊹	ءەرميتتى-تۇيىندەس ماتريتسا
⊿	تىك بۇرىشتى ءۇشبۇرىش
⋁	n-دىك لوگيكالىق نەمەسە
⋂	n-دىك قيىلىسۋ
⋃	n-دىك تۇيىندەستىرۋ
⋅	نۇكتە امالى
⋆	جۇلدىزدى وپەراتور
⋈	تابيعي بىرىكتىرۋ
⋒	قوسارلى قيىلىسۋ
⋘	قاراعاندا الدەقايدا كەم
⋙	قاراعاندا الدەقايدا ارتىق
⋮	تىك كوپ نۇكتە
⋯	ورتاشا دەڭگەيدەگى كولدەنەڭ كوپ نۇكتە
⋰	جوعارى وڭ جاققا باعىتتالعان كوپ نۇكتە
⋱	تومەن وڭ جاققا باعىتتالعان كوپ نۇكتە
■	بويالعان كۆادرات
□	ءىشى قۋىس كۆادرات
▢	بۇرىشتارى دوڭگەلەكتەلگەن ءىشى قۋىس كۆادرات
▣	بويالعان كۆادراتى بار ءىشى قۋىس كۆادرات
▤	كولدەنەڭ بوياۋى بار كۆادرات
▥	تىك بوياۋى بار كۆادرات
▦	ورتوگونالدى شتريحتالعان بوياۋى بار كۆادرات
▧	جوعارعى سول جاقتان تومەن وڭ جاققا قاراي بوياۋى بار كۆادرات
▨	تومەنگى وڭ جاقتان جوعارعى سول جاققا قاراي بوياۋى بار كۆادرات
▩	دياگونالدى شتريحتالعان بوياۋى بار كۆادرات
▬	بويالعان تىك ءتورتبۇرىش
▭	ءىشى قۋىس تىك ءتورتبۇرىش
▮	تىگىنەن تۇرعان بويالعان تىك ءتورتبۇرىش
▰	بويالعان پاراللەلوگرام
▲	ءۇشبۇرىش, تولتىرىلعان, تولتىرىلعان جوعارى باعىتتالعان ءۇشبۇرىش, جوعارى, كورسەتكى
△	جوعارى قاراتىلعان ءىشى قۋىس ءۇشبۇرىش
▴	جوعارى قاراتىلعان بويالعان شاعىن ءۇشبۇرىش
▵	جوعارى قاراتىلعان ءىشى قۋىس شاعىن ءۇشبۇرىش
▷	وڭ جاققا قاراتىلعان ءىشى قۋىس ءۇشبۇرىش
▸	وڭ جاققا قاراتىلعان بويالعان شاعىن ءۇشبۇرىش
▹	وڭ جاققا قاراتىلعان ءىشى قۋىس شاعىن ءۇشبۇرىش
►	وڭ جاققا قاراتىلعان بويالعان كورسەتكى
▻	وڭ جاققا قاراتىلعان ءىشى قۋىس كورسەتكى
▼	ءۇشبۇرىش, تولتىرىلعان, تولتىرىلعان تومەن باعىتتالعان ءۇشبۇرىش, تومەن, كورسەتكى
▽	تومەن قاراتىلعان ءىشى قۋىس ءۇشبۇرىش
▾	تومەن قاراتىلعان بويالعان شاعىن ءۇشبۇرىش
▿	تومەن قاراتىلعان ءىشى قۋىس شاعىن ءۇشبۇرىش
◁	سولعا قاراتىلعان ءىشى قۋىس ءۇشبۇرىش
◂	سولعا قاراتىلعان بويالعان شاعىن ءۇشبۇرىش
◃	سولعا قاراتىلعان ءىشى قۋىس شاعىن ءۇشبۇرىش
◄	سولعا قاراتىلعان بويالعان كورسەتكى
◅	سولعا قاراتىلعان ءىشى قۋىس كورسەتكى
◆	بويالعان رومب
◇	ءىشى قۋىس
◈	ىشىندە بويالعان رومب بار ءىشى قۋىس رومب
◉	ىشىندە شەڭبەر ءىشى قۋىس شەڭبەر
◊	ءتورت بۇرىشتى, رومب, رومب ءتارىزدى
○	بوس شەڭبەر, دوڭگەلەك, شەڭبەر
◌	پۋنكتيرلى شەڭبەر
◍	تىگىنەن بويالعان شەڭبەر
◎	قوس شەڭبەر, كونسەنترلىك شەڭبەرلەر, نىسانا
●	تولتىرىلعان شەڭبەر, شەڭبەر
◐	سول جاعى بويالعان شەڭبەر
◑	وڭ جاعى بويالعان شەڭبەر
◒	تومەنگى جاعى بويالعان شەڭبەر
◓	جوعارعى جاعى بويالعان شەڭبەر
◔	جوعارعى وڭ جاق كۆادرانتى بويالعان شەڭبەر
◕	جوعارعى سول جاق كۆادرانتىنان باسقاسى بويالعان شەڭبەر
◖	سول جاق بويالعان جارتىلاي شەڭبەر
◗	وڭ جاق بويالعان جارتىلاي شەڭبەر
◘	ينۆەرسيالانعان جۋان بەلگى
◙	ءىشى قۋىس شەڭبەرى بار بويالعان كۆادرات
◜	جوعارعى سول جاق كۆادرانتتىق دوعا
◝	جوعارعى وڭ جاق كۆادرانتتىق دوعا
◞	تومەنگى وڭ جاق كۆادرانتتىق دوعا
◟	تومەنگى سول جاق كۆادرانتتىق دوعا
◠	جوعارعى جارتىلاي شەڭبەر
◡	تومەنگى جارتىلاي شەڭبەر
◢	تومەنگى وڭ جاققا قاراتىلعان بويالعان ءۇشبۇرىش
◣	تومەنگى سول جاققا قاراتىلعان بويالعان ءۇشبۇرىش
◤	جوعارعى سول جاققا قاراتىلعان بويالعان ءۇشبۇرىش
◥	جوعارعى وڭ جاققا قاراتىلعان بويالعان ءۇشبۇرىش
◦	ءىشى قۋىس جۋان بەلگى
◯	دوڭگەلەك, شەڭبەر, ۇلكەن بوس شەڭبەر
◳	جوعارعى وڭ جاعىندا كۆادرانتى بار ءىشى قۋىس كۆادرات
◷	جوعارعى وڭ جاعىندا كۆادرانتى بار ءىشى قۋىس شەڭبەر
◿	تومەنگى وڭ جاق ءۇشبۇرىش
♪	سەگىزىنشى نوتا
⨧	تومەنگى يندەكسىندە "ەكى" سانى بار قوسۋ تاڭباسى
⨯	ۆەكتورلى كوبەيتىندى
⨼	ىشكى كوبەيتىندى
⩣	لوگيكالىق نەمەسە قوسارلى استىڭعى سىزىق
⩽	قيعاش تەڭدىك بەلگىسى بار "كەم نەمەسە تەڭ"
⪍	جۋىقتاۋ جانە تەڭدىك بەلگىسى بار "كەم نەمەسە تەڭ"
⪚	قوسارلى سىزىعى بار "تەڭ نەمەسە ۇلكەن"
⪺	تەڭ دەرلىك ەمەس بەلگىسى بار "ارتىندا كەلەدى"
♭	تومەندەۋ بەلگىسى
♯	ديەز
😀	بەت, جىميۋ, سمايىل, كۇلۋ, ەزۋ تارتىپ كۇلۋ, ەزۋ تارتۋ
😃	اشىق, اۋزىن اشىپ كۇلۋ, اۋىز, بەت, جىميۋ, سمايىل
😄	اشىق, اۋزىن اشىپ, اۋزىن اشىپ، ىرجيىپ تۇرىپ كۇلۋ, اۋىز, بەت, جىميۋ, سمايىل, كوز, ىرجيىپ تۇرىپ كۇلۋ
😁	بال-بۇل جايناپ كۇلۋ, بەت, سمايىل, كوز, كۇلۋ, ەزۋ تارتۋ
😆	اشىق, اۋزىن اشىپ, اۋزىن اشىپ، كوزىن جۇمىپ كۇلۋ, اۋىز, بەت, جارىلۋ, جىميۋ, حاحاحا, سمايىل, قاناعاتتانۋ, كوزىن جۇمىپ كۇلۋ, كۇلكى, كۇلكىدەن جارىلۋ, كۇلۋ, ۋاحاحا
😅	تەر, جىميۋ, ساسقالاقتاپ, ساسقالاقتاپ كۇلۋ, سمايل, كۇلۋ
🤣	بەت, جارىلۋ, حاحاحا, قيسايىپ كۇلۋ, كۇلكى, كۇلكىدەن جارىلۋ, كۇلۋ, ىشەك-سىلەسى, ىشەك-سىلەسى قاتىپ كۇلۋ, ۋاحاحا
😂	بەت, جارىلۋ, جاس, قۋانىش, كوزدەن جاس شىققانشا كۇلۋ, كۇلكى, كۇلكىدەن جارىلۋ, كۇلۋ, ۋاحاحا
🙂	بەت, جىميۋ, سمايىل
🙃	بەت, جىميۋ, سمايىل, مىسقىل
🫠	جوعالۋ, حاحا, ساركازم, سۇيىق, كەكەتۋ, ىستىق, ەرىگەن بەت, ەرۋ
😉	بەت, جىميۋ, قىرىنداۋ, كوز قىسۋ
😊	اجار, جىميۋ, ريزا بولىپ كۇلۋ, سمايىل, كۇلۋ
😇	بەت, بەيۋاز, بەيۋاز كۇلكى, جىميۋ, حالو, سمايىل, قيال, كىناسىز, پەرىشتە
🥰	جاقسى كورۋ, جىميۋ, جۇرەك, جۇرەكشەلەرى بار بەت, سمايىل, عاشىق
😍	ءسۇيسىنىپ قاراۋ, بەت, جۇرەك, سمايل, كوز, ماحاببات
🤩	بەت, جىميۋ, جۇرەكشەلەرى بار, جۇلدىز, جەلىگۋ, سمايىل, كوز, كوزدەرى جۇلدىزداي جايناۋ, كۇلۋ
😘	ءسۇيىم, ءسۇيۋ, بەت, سەزىم, قىرىنداۋ, كوزدى قىسىپ قويىپ, كوزدى قىسىپ قويىپ ءسۇيۋ, ماحابات, ماحاببات
😗	ءسۇيىم, ءسۇيۋ, بەت, سەزىم, قىرىنداۋ, ماحابات
☺️	بەت, جىميۋ, سمايىل, سىزۋلى, كۇلۋ, ەركىن
😚	ءسۇيۋ, بەت, كوزدى جۇمىپ, كوزدى جۇمىپ تۇرىپ ءسۇيۋ
😙	ءسۇيۋ, بەت, جىميۋ, سمايىل, كوز, كۇلىمدەگەن كوزبەن ءسۇيۋ, كۇلىپ ءسۇيۋ
🥲	جاس, جىلاپ تۇرىپ كۇل, جىلاپ تۇرىپ كۇلۋ, جەڭىلدەنىپ قالۋ, رازى, ريزا, سمايىل, قۋانۋ, كوڭىلى ەلجىرەۋ, كۇلىمسىرەۋ
😋	ءتىلىن شىعارعان, ءتىلىن شىعارىپ كۇلۋ, ءدامدى, بەت, تاعام, جىميۋ, سمايىل, قارنى اشۋ, كۇلۋ
😛	ءتىل, ءتىلىن شىعارۋ, بەت, جىميۋ
😜	ءتىل, ءتىلىن شىعارىپ, ءتىلىن شىعارىپ، كوزىن قىسۋ, ءتىلىن شىعارۋ, بەت, جىميۋ, قالجىڭ, كوز, كوز قىسۋ, كوزىن قىسىپ, كوزىن قىسىپ، ءتىلىن شىعارۋ, كوزىن قىسۋ
🤪	ءتىلىن شىعارۋ, جىندى, كوز, ەكى ءتۇرلى كوز
😝	ءتىل, ءتىلىن شىعارىپ, ءتىلىن شىعارىپ، كوزىن جۇمۋ, ءتىلىن شىعارۋ, ءدامى, بەت, جەركەنىشتى, كوز, كوزىن جۇمىپ, كوزىن جۇمىپ، ءتىلىن شىعارۋ, كوزىن جۇمۋ
🤑	اقشا, اقشادان كوز ايىرماۋ, اۋىز, بەت
🤗	بەت, جىميۋ, قۇشاق, قۇشاقتاۋ
🤭	ايتىپ قويۋ, اۋزىن قولمەن جاۋىپ كۇلۋ, جىميۋ, كۇلۋ
🫢	ال اۋزىن قولىمەن جاپقان, تاڭعالۋ, تاڭىرقاۋ, سەنبەۋ, قورقۋ, كوزى اشىق, كوزى اشىق، ال اۋزىن قولىمەن جاپقان, ماسساعان, ويباي, ۇيالۋ
🫣	استىرتىن قاراۋ, جاسىرىنۋ, سىعالاۋ, قادالىپ قاراۋ, قورقۋ, ۇيالشاق, ۇيالۋ
🤫	ءتۇش, تىنىش, سويلەمە, ۇندەمە
🤔	بەت, ويلانۋ
🫡	OK, ءيا, ءيا، سەر, جولىڭ بولسىن, ساتتىلىك, ساليۋت, ساليۋت بەرۋ, قۇپ بولادى
🤐	اۋىز, بەت, سويلەمەۋ, سىدىرما ىلگەك, ۇندەمەۋ
🤨	سەنبەۋ, كۇماندانۋ
😐️	ءبارىبىر, بەت, سەزىمسىز, ەموتسياسىز, ەنجار
😑	ءبارىبىر, بەت, سەزىمسىز, ەموتسياسىز, ەنجار
😶	ءۇنسىز, اۋزى جوق بەت, اۋىز, بەت, تىنىش
🫥	دەپرەسسيا, كورىنبەيتىن, كوڭىلسىز, كۇيزەلىس, ينتروۆەرت, پۋنكتيرمەن سالىنعان بەت, ەموتسياسىز
😶‍🌫	الاڭعاسار, بۇلت باسقان بەت, جاڭعالاق, ەنجار
😏	بەت, كوز, كۇلۋ, مىرس-مىرس كۇلۋ
😒	بەت, قىزىق ەمەس, قۋانىشتى ەمەس
🙄	بەت, كوز, كوز الارتۋ, كوز الارۋ, كوزدى اينالدىرۋ, كوزى الارۋ
😬	بەت, بەت-اۋزىن قيسايتۋ, جىميۋ, سمايل
😮‍💨	اۋا, اۋا شىعارۋ, اۋانى شىعارىپ تۇرعان بەت, دەم شىعارۋ, دەمىن شىعارىپ تۇرعان بەت, دەمىگۋ, سمايىل, سىبىر, شارشاۋ, قالجىراۋ, ىسقىرىق, ۇرلەۋ, ەنتىگۋ
🤥	وتىرىك, وتىرىكشى
🫨	بەت, جەر سىلكىنىسى, دىرىلدەۋ, شايقالعان بەت, شايقالۋ, شوك
🙂‍↔	جوق دەپ باس شايقاۋ, كولدەنەڭىنەن شايقالعان بەت
🙂‍↕	ءيا دەپ باس شايقاۋ, تىگىنەن شايقالعان بەت
😌	بەت, جەڭىلدەپ قالۋ
😔	بەت, تۇنجىراۋ, مۇڭدى, ويلى
😪	بەت, تۇنجىراۋ, ۇيقى, ۇيقى باسۋ
🤤	اعىپ, تۇر, سىلەكەي, سىلەكەيى اعىپ تۇر
😴	zzz, بەت, توسەك, شارشادىم, قايىرلى ءتۇن, ۇيقى, ۇيىقتاۋ, ەسىنەۋ
🫩	شارشاۋ, كوز ىسىگى, ۇيقى
😷	اۋرۋ, اۋىرىپ قالۋ, بەت, بەتپەردە, بەتپەردە تاققان بەت, دارىگەر, سۋىق, ماسكا, مەديتسينا, مەديتسينالىق بەتپەردە تاققان بەت, مەديتسينالىق ماسكاسى بار بەت
🤒	اۋرۋ, اۋىرۋ, بەت, تەرمومەتر, تەرمومەترى بار بەت, دەنە قىزۋى ارتقان, قىزۋى كوتەرىلگەن, ناۋقاس
🤕	اۋرۋ, اۋىرتۋ, باسى بينتتەلگەن, بانداج, بەت, جاراقات الۋ, سوعۋ
🤢	اۋىرۋ, بەت, جۇرەگى اينىپ تۇر, قۇسقىسى كەلىپ تۇر, قۇسۋ
🤮	اۋىرۋ, قۇسۋ
🤧	اۋىرۋ, بەت, تۇشكىرۋ
