،	Arabic, Arabic comma, comma
👨🏿‍🤝‍👨🏽	Gemini, couple, dark skin tone, holding hands, medium skin tone, men holding hands, twins, zodiac
👨🏿‍🤝‍👨🏾	Gemini, couple, dark skin tone, holding hands, medium-dark skin tone, men holding hands, twins, zodiac
👬🏿	Gemini, couple, dark skin tone, holding hands, men holding hands, twins, zodiac
🦳	gray, grey, hair, old, white
🐫	Bactrian, camel, hump, two-hump camel
🦣	extinct, extinction, large, mammoth, tusk, woolly
🐞	ladybug
🌾	ear, grain, rice, sheaf, sheaf of rice
🍀	four-leaf clover
🧄	flavoring, flavouring, garlic
🧅	flavoring, flavouring, onion
🌰	chestnut, nut, plant
🫚	beer, ginger, root, spice
🥐	French, bread, breakfast, crescent, croissant, food, roll
🥖	French, baguette, bread, food
🥞	breakfast, crepe, crêpe, food, hotcake, pancake, pancakes
🧇	breakfast, iron, unclear, vague, waffle
🥩	chop, cut of meat, lamb chop, pork chop, steak
🍟	French, French fries, fries
🌭	frank, frankfurter, hot dog, hotdog, sausage
🌮	Mexican, taco
🌯	Mexican, burrito, wrap
🫔	Mexican, tamale, wrapped
🧆	chick pea, chickpea, falafel, meatball
🍥	cake, fish, fish cake with swirl, narutomaki, pastry, swirl
🍦	cream, dessert, ice, icecream, soft, soft-serve ice cream, sweet
🍬	candy, dessert, sweet, sweets
🍶	bar, beverage, bottle, cup, drink, sake, saké
🍾	bar, bottle, bottle with popping cork, bubbly, cork, drink, popping
🍻	bar, beer, cheers, clink, clinking beer mugs, drink, mug
🥂	celebrate, cheers, clink, clinking glasses, drink, glass
🥃	glass, liquor, shot, tumbler, whiskey, whisky
🧋	boba, bubble, milk, pearl, tea
🍴	cooking, cutlery, fork, fork and knife, knife, knife and fork
🗻	Fuji, Mount Fuji, mountain
🏛️	classical, classical building, column
🏪	convenience, dépanneur, store
🗼	Tokyo, Tokyo Tower, Tower
🗽	Liberty, Statue, Statue of Liberty
🕌	Islam, Muslim, mosque, religion
🛕	Hindu, Hindu temple, temple
🕍	Jew, Jewish, religion, shul, synagogue, temple
⛩️	Shinto, Shinto shrine, religion, shrine
🕋	Islam, Kaaba, Muslim, religion
🌃	night, night with stars, star, starry night
🏙️	city, cityscape, skyline
🌆	city, cityscape at dusk, dusk, evening, landscape, skyline at dusk, sunset
🎠	carousel, horse, merry-go-round
🎡	Ferris, Ferris wheel, amusement park, theme park, wheel
🚃	car, electric, railway, train, tram, trolley bus, trolleybus
🚄	Shinkansen, high-speed train, railway, speed, train
🚅	Shinkansen, bullet, railway, speed, train
🚇️	metro, subway, tube, underground
🚊	car, streetcar, tram, tramcar, trolley, trolley bus, trolleybus
🚋	car, streetcar, tram, tramcar, trolley, trolley bus, trolleybus
🚎	bus, streetcar, tram, trolley, trolley bus, trolleybus
🚒	fire truck
🚙	SUV, recreational, sport utility, sport utility vehicle
🚛	semi
🛺	auto rickshaw, tuk tuk, tuk-tuk, tuktuk
🛣️	highway
⛽️	gas pump
🛥️	motorboat
✈️	aeroplane, airplane, flight
🛩️	aeroplane, airplane, small airplane, small plane
🛫	aeroplane, airplane, check-in, departure, departures, flight departure, plane departure
🛸	UFO, flying saucer, spaceship
🕧	12, 12:30, clock, half past twelve, thirty, twelve, twelve thirty, twelve-thirty
🕜	1, 1:30, clock, half past one, one, one thirty, one-thirty, thirty
🕝	2, 2:30, clock, half past two, thirty, two, two thirty, two-thirty
🕞	3, 3:30, clock, half past three, thirty, three, three thirty, three-thirty
🕟	4, 4:30, clock, four, four thirty, four-thirty, half past four, thirty
🕠	5, 5:30, clock, five, five thirty, five-thirty, half past five, thirty
🕡	6, 6:30, clock, half past six, six, six thirty, six-thirty, thirty
🕢	7, 7:30, clock, half past seven, seven, seven thirty, seven-thirty, thirty
🕣	8, 8:30, clock, eight, eight thirty, eight-thirty, half past eight, thirty
🕤	9, 9:30, clock, half past nine, nine, nine thirty, nine-thirty, thirty
🕥	10, 10:30, clock, half past ten, ten, ten thirty, ten-thirty, thirty
🕦	11, 11:30, clock, eleven, eleven thirty, eleven-thirty, half past eleven, thirty
🌝	bright, face, full, full-moon face, moon
🌌	Milky, Milky Way, Way, space
🎃	Halloween, celebration, jack, jack-o-lantern, jack-o’-lantern, lantern
🎋	Japanese, Tanabata tree, banner, celebration, tree
🎑	celebration, ceremony, moon, moon viewing ceremony, moon-viewing ceremony
🏈	football
🏉	rugby
🥏	Frisbee, flying disc, ultimate
🏏	ball, bat, cricket, cricket match, game
🏒	hockey
🏓	ball, bat, game, paddle, ping pong, ping-pong, table tennis
🥋	MMA, judo, karate, martial arts, martial arts uniform, taekwondo, uniform
🎣	fish, fishing pole, fishing rod, pole
🤿	diving, diving mask, scuba, snorkelling
🥌	curling rock, curling stone, game, rock
🎯	bullseye, bull’s-eye, dart, direct hit, game, hit, target
🎱	8, ball, billiard, eight, game, magic 8 ball, pool 8 ball
🪆	Russia, doll, nesting, nesting dolls
🀄️	Mahjong, Mahjong red dragon, game, red
👕	T-shirt, clothing, shirt, tee-shirt, tshirt
🩱	bathing suit, one-piece swimsuit, swimming costume
🩴	beach sandal, flip-flop, sandal, thong, zōri
🧢	baseball cap
💎	diamond, gem, gem stone, gemstone, jewel
📯	post horn
💻️	PC, computer, laptop, personal
💾	computer, disk, diskette, floppy
📺️	TV, television, video
📼	VHS, tape, video, videocassette, videotape
💷	banknote, bill, currency, money, note, pound, sterling
📮	mail, mailbox, post, post box, postbox
📐	ruler, set, set square, triangle, triangular ruler
🔒️	closed, locked, padlock
🔓️	lock, open, padlock, unlock, unlocked
🦯	accessibility, blind, guide cane, white cane
🧬	DNA, biologist, evolution, gene, genetics, life
🩹	adhesive bandage, injury, plaster, sticking plaster
🩻	X-ray, bones, doctor, medical, skeleton
🛋️	couch, couch and lamp, hotel, lamp, sofa, sofa and lamp
🚽	lavatory, toilet
🪤	bait, mouse, mousetrap, snare, trap
🛒	basket, cart, shopping, trolley
⚰️	casket, coffin, death
🧿	bead, charm, evil eye, nazar, nazar amulet, talisman
🪪	ID, credentials, identification card, licence, security
🚮	garbage, litter, litter bin, litter in bin sign, trash
🚹️	bathroom, lavatory, men’s, men’s room, restroom, washroom, wc
🚺️	WC, bathroom, ladies’ room, lavatory, restroom, toilet, woman, women’s room
🚻	WC, bathroom, lavatory, restroom, washroom
✡️	David, Jewish, Judaism, Star of David, religion, star
☯️	Tao, Taoist, religion, yang, yin
✝️	Christian, Latin cross, cross, religion
☦️	Christian, Orthodox cross, cross, religion
☪️	Islam, Muslim, religion, star and crescent
♏️	Scorpio, Scorpius, scorpion, zodiac
🔼	arrow, button, red, upward button, upwards button
🔽	arrow, button, down, downward button, downwards button, red
📳	cell, mobile, mode, phone, telephone, vibrate, vibration
⁉️	!, !?, ?, exclamation, mark, punctuation, question
✅️	button, check, mark, tick, ✓
☑️	box, check, check box with check, tick, tick box with tick, ✓
®️	r, registered, trademark
™️	trademark
🔠	ABCD, Latin, input, input Latin uppercase, letters, uppercase
🔡	Latin, abcd, input, input Latin lowercase, letters, lowercase
🔤	Latin, abc, alphabet, input, input Latin letters, letters
🏁	checkered, checkered flag, chequered, chequered flag, racing
🚩	post, red flag, triangular flag
🏳️	surrender, waving, white flag
🇦🇬	flag: Antigua and Barbuda
🇧🇦	flag: Bosnia and Herzegovina
🇧🇱	flag: Saint-Barthélemy
🇪🇦	flag: Ceuta and Melilla
🇬🇸	flag: South Georgia and South Sandwich Islands
🇭🇲	flag: Heard and McDonald Islands
🇰🇳	flag: Saint Kitts and Nevis
🇱🇨	flag: Saint Lucia
🇲🇫	flag: Saint Martin
🇵🇲	flag: Saint-Pierre-et-Miquelon
🇵🇸	flag: Palestinian territories
🇸🇭	flag: Saint Helena
🇸🇯	flag: Svalbard and Jan Mayen
🇸🇹	flag: São Tomé and Príncipe
🇹🇨	flag: Turks and Caicos Islands
🇹🇹	flag: Trinidad and Tobago
🇺🇲	flag: US Outlying Islands
🇻🇨	flag: Saint Vincent and the Grenadines
🇻🇮	flag: US Virgin Islands
🇼🇫	flag: Wallis and Futuna
¤	unknown currency
¢	cent, cents
$	CAD, USD, cash, dollar, dollars, money, peso
₢	BRB, Brazil, cruzeiro, currency
₣	France, French franc, currency, franc
₤	Italy, currency, lira
₰	German penny, currency, pfennig
₱	peso, pesos
₳	ARA, Argentina, austral, currency
₶	France, currency, livre tournois
₹	Indian rupee, currency, rupee
