‾	forlíne
『	lúibín, lúibín cúinne toll, lúibín cúinne toll tosaigh
』	lúibín, lúibín cúinne toll, lúibín cúinne toll deiridh
【	lúibín, lúibín lionsach, lúibín lionsach dubh tosaigh
】	lúibín, lúibín lionsach, lúibín lionsach dubh deiridh
〔	lúibín, lúibín blaoisce, lúibín blaosc toirtíse tosaigh
〕	lúibín, lúibín blaoisce, lúibín blaosc toirtíse deiridh
〖	lúibín, lúibín lionsach toll, lúibín lionsach toll tosaigh
〗	lúibín, lúibín lionsach deiridh, lúibín lionsach toll, lúibín lionsach toll deiridh
§	alt, cuid, rannán
¶	alt, comhartha ailt, marc ailt
@	@ tráchtála, arobase, comhartha @, marc @
*️	réalta, réiltín, saoróg
/	camóg, fléasc, sceabhach, slais, soladas
\	cúlslais, soladas aisiompaithe
&	agus, amparsan, et
#️	comhartha haise, hais, haischlib, lb, uimhir
%	céatadán
‰	in aghaidh an mhíle
†	comhartha miodóige, obelus, oibilisc
‡	comhartha miodóige dúbailte, obelus, oibilisc
•	urchar
‧	dais, fleiscín, ponc, ponc le fleiscín
′	prím
″	prím, prím dhúbailte
‴	prím, prím thriarach
‸	carait
※	marc tagartha
⁂	réaltlach
`	graif, tón
´	agúid, tón
^	agúid, comhartha xor, cuairín, cumhacht, ding, hata, pointeoir, rachtán, rialú
¨	déiréis, umlaut
°	céim
℗	cóipcheart, cóipcheart taifid fuaime, fuaim, taifead
←	saighead chlé
↚	túlslais saighde ar chlé
→	saighead dheas
↛	túlslais saighde ar dheis
↑	saighead dhírithe suas
↓	saighead dhírithe síos
↜	saighead chorrach ar chlé
↝	saighead chorrach ar dheis
↞	saighead dhécheannach ar chlé
↟	saighead dhécheannach suas
↠	saighead dhécheannach ar dheis
↡	saighead dhécheannach síos
↢	saighead eiteach ar chlé
↣	saighead eiteach ar dheis
↤	saighead ar chlé as barra
↥	saighead suas as barra
↦	saighead ar dheis as barra
↧	saighead síos as barra
↨	saighead suas síos le bonn
↫	saighead lúbach ar chlé
↬	saighead lúbach ar dheis
↭	tonnsaighead chlé dheas
↯	saighead fhiarlánach síos
↰	saigheas suas barr ar chlé
↱	saighead suas barr ar dheis
↲	saighead síos barr ar chlé
↳	saighead síos barr ar dheis
↴	saighead ar dheis cúinne síos
↵	saighead síos cúinne ar chlé
↶	saighead thuathal uachtar leathchiorcail
↷	saighead dheiseal uachtar leathchiorcail
↸	saighead siar ó thuaidh barra fada
↹	saigheadbharra ar chlé os cionn ceann ar dheis
↺	ciorcalshaighead oscailte tuathalach
↻	ciorcalshaighead oscailte deiseal
↼	harpún ar chlé friofac thuas
↽	harpún ar chlé friofac thíos
↾	harpún suas friofac ar dheis
↿	harpún suas friofac ar chlé
⇀	harpún ar dheis friofac thuas
⇁	harpún ar dheis friofac thíos
⇂	harpún síos friofac ar dheis
⇃	harpún síos friofac ar chlé
⇄	saighead ar dheis os cionn saighde ar chlé
⇅	saighead suas agus saighead síos
⇆	saighead chlé os cionn saighead dheas
⇇	péire saighead ar chlé
⇈	péire saighead suas
⇉	péire saighead ar dheis
⇊	péire saighead síos
⇋	harpún ar chlé os cionn harpúin ar dheis
⇌	harpún ar dheis os cionn harpúin ar chlé
⇐	saighead dhúbailte ar chlé
⇍	saigheadstríoc dhúbailte ar chlé
⇑	saighead dhúbailte suas
⇒	saighead dhúbailte ar dheis
⇏	saigheadstríoc dhúbailte ar dheis
⇓	saighead dhúbailte síos
⇔	saighead dhúbailte chlé dheas
⇎	saigheadstríoc dhúbailte chlé dheas
⇖	saighead dhúbailte siar ó thuaidh
⇗	saighead dhúbailte soir ó thuaidh
⇘	saighead dhúbailte soir ó dheas
⇙	saighead dhúbailte siar ó dheas
⇚	saighead thriarach ar chlé
⇛	saighead thriarach ar dheis
⇜	scríobshaighead ar chlé
⇝	scríobshaighead ar dheis
⇞	saighead suas stríce dúbailte
⇟	saighead síos stríce dúbailte
⇠	saighead bhriste ar chlé
⇡	saighead bhriste suas
⇢	saighead bhriste ar dheis
⇣	saighead bhriste síos
⇤	saigheadbharra ar chlé
⇥	saigheadbharra ar dheis
⇦	saighead tholl ar chlé
⇧	saighead tholl suas
⇨	saighead tholl ar dheis
⇩	saighead tholl síos
⇪	saighead tholl suas ó bharra
⇵	saighead síos saighead suas ar chlé
∀	gach rud
∂	páirtdifreálach
∃	is ann do
∅	tacar folamh
∆	incrimint
∇	nabla, triantán
∈	ball de, tacar
∉	ní ball de
∋	ann mar bhall
∎	cruthú deiridh
∏	toradh n-ary
∑	suimiú n-ary
+	comhartha móide, cuir le, móide
±	móide-lúide
÷	comhartha roinnte, oibil, roinn, roinnt
×	comhartha iolraithe
<	clib, clib oscailte, níos lú ná
≮	nach bhfuil níos lú ná
=	cothrom, cothrom le
≠	míchothrom, neamhchothrom lena chéile, éagothromóid
>	clib, clib dúnta, níos mó ná
≯	nach bhfuil níos mó ná
¬	diúltú, nach
|	barra, barra ingearach, bata, líne, líne ingearach, píopa, stríoc, stríoc sheffer, v-bharra
~	tilde
−	bain de, comhartha lúide, lúide
⁻	lúide forscríofa
∓	lúide nó móide
∕	slais roinnte
⁄	slais chodáin
∗	oibritheoir réiltín
∘	oibritheoir fáinne
∙	oibritheoir urchair
√	fréamh chearnach
∝	comhréireach
∞	comhartha éigríche
∟	dronuillinn
∠	uillinn
∣	roinneann
∥	línte comhthreomhara
∧	loighciúil agus
∩	idirmhír, tacar
∪	aontas, bailiúchán, tacar
∫	suimeálaí
∬	suimeálaí dúbailte
∮	cuarshuimeálaí
∴	mar sin
∵	mar
∶	cóimheas
∷	comhréir
∼	oibritheoir tilde
∽	tilde aisiompaithe
∾	s aisiompaithe ar a taobh
≃	cothrom le go hasamtóiteach
≅	beagnach cothrom lena chéile
≈	beagnach cothrom le, meastachán
≌	gach rud cothrom lena chéile
≒	beagnach cothrom leis an íomhá
≖	fáinne i gcothrom lena chéile
≡	comhionann le
≣	ceartchothrom
≤	cothrom le, níos lú ná, níos lú ná nó cothrom le, éagrothroime
≥	cothrom lena chéile, níos mó ná, níos mó ná nó cothrom le, níos mó ná nó cothrom lena chéile, éagothromóid
≦	níos lú ná os cionn cothrom lena chéile
≧	níos mó ná os cionn cothrom lena chéile
≪	i bhfad níos lú ná
≫	i bhfad níos mó ná
≬	idir
≳	níos mó ná cothrom le
≺	tagann sé roimh
≻	tagann sé i ndiaidh
⊁	ní thagann sé i ndiaidh
⊂	fo-thacar, fo-thacar de chuid
⊃	forthacar
⊆	cothrom lena chéile fothacair
⊇	cothrom lena chéile forthacair
⊕	móide i gciorcal
⊖	lúide i gciorcal
⊗	comhartha iolraithe i gciorcal
⊘	slais roinnte i gciorcal
⊙	ponc-oibritheoir i gciorcal
⊚	oibritheoir fáinne i gciorcal
⊛	oibritheoir réiltín i gciorcal
⊞	móide i gcearnóg
⊟	lúide i gcearnóg
⊥	tacóid suas
⊮	ní úsáideann sé fórsa
⊰	tagann sé roimhe faoi choibhneas
⊱	tagann sé i ndiaidh faoi choibhneas
⋭	níl mar bhall de mar cothrom le gnách foghrúpa
⊶	buncheann
⊹	maitrís chomhchuingeach Hermite
⊿	triantán dronuilleach
⋁	or loighciúil n-ary
⋂	idirmhír n-ary
⋃	aontas n-ary
⋅	ponc-oibritheoir
⋆	oibritheoir réalta
⋈	ceangal nádúrtha
⋒	idirmhír dhúbailte
⋘	i bhfad bhfad níos nú ná
⋙	i bhfad bhfad níos mó ná
⋮	comhartha focalbhá ingearach
⋯	comhartha focalbhá meánlíne
⋰	focalbhá trasnánach suas ar dheis
⋱	comhartha focalbhá trasnánach síos ar dheis
■	cearnóg líonta
□	cearnóg tholl
▢	cearnóg tholl le cúinní cruinne
▣	cearnóg tholl ina bhfuil cearnóg líonta
▤	cearnóg le líonadh cothrománach
▥	cearnóg le líonadh ingearach
▦	cearnóg líonadh ortagánach tras-haitseála
▧	cearnóg líonadh ón uachtar clé go híochtar deas
▨	cearnóg líonadh ón uachtar deas go híochtar clé
▩	cearnóg líonadh trasnánach tras-haitseála
▬	dronuilleog líonta
▭	dronuilleog tholl
▮	dronuilleog ingearach líonta
▰	comhthreomharán líonta
▲	saighead, suas, triantán, triantán líonta lena rinn suas
△	triantán toll lena rinn suas
▴	triantán beag líonta lena rinn suas
▵	triantán beag toll lena rinn suas
▷	triantán toll lena rinn ar dheis
▸	triantán beag líonta lena rinn ar dheis
▹	triantán beag toll lena rinn ar dheis
►	pointeoir líonta lena rinn ar dheis
▻	pointeoir toll lena rinn ar dheis
▼	saighead, síos, triantán, triantán líonta lena rinn síos
▽	triantán síos toll
▾	triantán síos beag líonta
▿	triantán síos beag toll
◁	triantán toll lena rinn ar chlé
◂	triantán beag líonta lena rinn ar chlé
◃	triantán beag toll lena rinn ar chlé
◄	pointeoir líonta lena rinn ar chlé
◅	pointeoir toll lena rinn ar chlé
◆	muileata líonta
◇	muileata toll
◈	muileata toll a bhfuil muileata líonta istigh ann
◉	ciorcal toll a bhfuil ciorcal líonta istigh ann
◊	muileata, rombas
○	ciorcal toll, fáinne
◌	ciorcal poncanna
◍	ciorcal le líonadh ingearach
◎	súil sprice
●	ciorcal líonta
◐	ciorcal leathlíonta ar chlé
◑	ciorcal leathlíonta ar dheis
◒	ciorcal leathlíonta ar bun
◓	ciorcal leathlíonta ar barr
◔	ciorcal ceathrú uachtair ar dheis líonta
◕	ciorcal ceathrú uachtair ar dheis toll
◖	leathchiorcal clé líonta
◗	leathchiorcal deis líonta
◘	piléar inbhéartach
◙	cearnóg líonta ina bhfuil ciorcal log, cearnóg líonta ina bhfuil cuaschiorcal, ciorcal log inbhéartach
◜	stua ciorclach ceathrú uachtarach ar chlé, stua ciorclach stua ciorclach ceathrú uachtarach ar dheis
◝	stua ciorclach ceathrú uachtarach ar dheis
◞	stua ciorclach ceathrú íochtair ar dheis
◟	stua ciorclach ceathrú íochtair ar chlé
◠	leathchiorcal uachtarach
◡	leathchiorcal níos ísle
◢	líonadh triantán íochtair ar dheis
◣	líonadh triantán íochtair ar chlé, triantán líonta uachtair ar chlé
◤	triantán líonta uachtair ar chlé
◥	líonta triantán uachtarach ar dheis
◦	urchar toll
◯	ciorcal mór toll, fáinne
◳	cearnóg log ceathrú uachtarach ar dheis
◷	ciorcal log le ceathrú uachtarach ar dheis
◿	triantán íochtair ar dheis
♪	ceol, nóta, nóta ochtach, ochtach
⨧	móide síntiús a dó
⨯	táirge tras veicteoir
⨼	táirge inmheánach
⩣	loighciúil nó bar íochtar dúbailte
⩽	níos lú ná claonta comhionann
⪍	níos lú ná thuas comhionann céanna
⪚	líne dhúbailte comhionann níos mó ná, líne dhúbailte cothrom níos mó ná, matamaitic, éagothroime
⪺	éiríonn thuas ní beagnach comhionann
♭	A-maol, ceol, maol, nóta, nóta maol
♯	A-géar, ceol, géar, nóta
😀	aghaidh, gáire, meangadh, sona sásta, straoiseog ghealgháireach, sásta
😃	béal ar oscailt, meangadh gáire, straoiseog ag gáire le súile móra, straoiseog ag miongháire le béal oscailte, sásta
😄	béal ar oscailt, lol, meangadh gáire, straoiseog ag gáire le bhéal oscailte agus súile ag déanamh miongháire, straoiseog ag gáire le béal oscailte agus súile gealgháireacha, straoiseog ag gáire le súile ag déanamh miongháire, straoiseog ag gáire le súile gealgháireacha uirthi, straoiseog ag gáire le súile le miongháire, sásta, súile ag gáire
😁	gáire, meangadh, miongháire, straoiseag gáire le súile ag déanamh miongháire, straoiseog a bhfuil meangadh mór uirthi, straoiseog gháire le súile & miongháire, straoiseog gháire le súile ag déanamh miongháire, súile ag gáire
😆	aghaidh, béal ar oscailt, fuirseoireacht, greannmhar, gáire, gáire os ard, haha, lol, meangadh, miongháire, straoiseog ag gáire le súile dúnta, sásta, súile dúnta go dlúth
😅	béal ar oscailt, faoi strus, fuar, fuarallas, meangadh gáire, neirbhíseach, straoiseog ag gáire le fuarallas
🤣	aghaidh, fuirseoireacht, golgháire, greannmhar, gáire, gáire os ard, haha, lol, miongháire, sna trithí gáire, sna tríthí, urlár
😂	ag gáire, deora áthais, golgháire, greannmhar, gáire mhór, haha, hehe, lol, sna trithí gáire, straoiseog le deora áthais, sásta
🙂	aghaidh, miongháire, straoiseog ag miongháire de bheagán, áthas
🙃	aghaidh, bonn os cionn, miongháire, straoiseog bun os cionn
🫠	imigh as radharc, leacht, leáigh, straoiseog atá ag leá, tuaslaig
😉	aghaidh, caochadh, mealltach, radaire, straoiseog ag caochadh
😊	meangadh gáire, miongháire, straoiseog ag gáire le súile ag déanamh miongháire, straoiseog ag miongháire le súile ag déanamh miongháire, straoiseog aoibhiúil le súile ag déanamh miongháire, straoiseog aoibhiúil le súile le miongháire, sásta, súil, súile ag gáire
😇	ag miongháire, aingeal, beannaithe, fáinne solais, meangadh gáire, miongháire, straoiseog ag gáire le luan, straoiseog ag miongháire le luan, sásta
🥰	aghaidh, aghaidh le 3 chroí, breá, croí, croíthe, cumann, gean, grá, i ngrá, is breá liom é, meangadh, miongháire, mo ghrá thú, searc, splanctha, straoiseog ag miongháire le croíthe, straoiseog le croíthe
😍	croíthe, grá, meangadh gáire, póg, staoiseog ag gáire le croíthe ina súile, straoiseog ag gáire le croíthe ina shúile, straoiseog ag gáire le croíthe ina súile, súile i bhfoirm croí, xoxo
🤩	aghaidh, meangadh, réalt, réalta, straoiseog faoi gheasa, súile
😘	aghaidh, croí, grá, grá agam ort, póg, pógadh, rómánsúil, straoiseog ag séideadh póige
😗	143, aghaidh, póg, straoiseog ag pógadh, xoxo
☺️	ar do shuaimhneas, miongháire, straoiseog ag miongháire, sásta, éadan, éadan straoiseoige, éadan straoiseoige neamhlíonta
😚	coinne, póg, pógadh, straoiseog ag pógadh le súile dúnta, súile dúnta, xoxo
😙	143, aghaidh, coinne, meangadh, miongháire, póg, pógadh, rosc, straoiseog ag pógadh le súile ag déanamh miongháire, straoiseog ag pógadh le súile le miongháire, súil, súile ag gáire, súile dúnta, éadan
🥲	bródúil, buíoch, corraithe, deoir, faoiseamh, miongháire, mórtasach, straoiseog shásta le deora
😋	aghaidh ag baint taitnimh as bia blasta, bia, blasta, meangadh gáire, straoiseog ag baint taitneamh as bia blasta
😛	aghaidh, ar fheabhas, cóisir, deas, straoiseog le teanga amach, teanga
😜	ait, amaideach, caochadh, straoiseog ag caochadh le teanga amach, straoiseog le teanga amach agus súil á caochadh, teanga ag gobadh amach, teanga churtha amach
🤪	beag, mór, rosc, straoiseog chraiceáilte, súil, súile
😝	aghaidh, blas, straoiseog le teanga amach agus súile dúnta, súil, súile dúnta go dlúth, teanga ag gobadh amach, teanga churtha amach
🤑	aghaidh, airgead, béal, straoiseog le hairgead ina béal, íoctha
🤗	ag beir barróg, aghaidh, barróg, barróg a thabhairt, lámha, straoiseog ag tabhairt barróige
🤭	aghaidh le lámha ar an mbéal, gan choinne, rún, scig-gháire, scigireacht, sciotaíl, straoiseog lena lámh ar a béal
🫢	díchreideamh, ionadh, iontas, náire, scanraithe, straoiseog le súile oscailte agus lámh ar an mbéal, uamhan
🫣	cotúil, faoi dhraíocht, gliúc, gliúcaíocht, spléachadh, straoiseog le súil ag píceáil, stánadh
🤫	ciúnas, straoiseog do do chur i do thost, tost
🤔	ag machnamh, ag smaoineamh, aghaidh, machnamhach, straoiseog ag smaoineamh
🫡	cúirtéis, grianmhar, maith go leor, sea, straoiseog ag déanamh cúirtéise, trúpaí
🤐	aghaidh, béal, ciúnas, sip, straoiseog le béal zipeáilte
🤨	aghaidh, aghaidh le mala ardaithe, amhras, amhrasach, ionadh, sceipteach, straoiseog le mala ardaithe
😐️	aghaidh neodrach, gan a bheith ag gáire, gan a bheith tógtha, míshásta, neodrach, straoiseog neodrach
😑	féachaint fholamh, féachaint folamh, gbdo, gnúis dhúrúnta, straoiseog le haghaidh fholamh, óró
😶	aghaidh gan bhéal, ciúin, gan bhéal, gan mhothúchán, ina thost, rún, straoiseog gan bhéal
🫥	dofheicthe, easpa spéise, faoi ghruaim, folaithe, is cuma, straoiseog le líne phoncaithe
😶‍🌫	aghaidh sa cheo, aghaidh sna scamaill, ceann sna scamaill, dearmadach
😏	amhrasach, pioctha néata, siotgháire, sleamhain, sotalach, straoiseog ag déanamh seitgháire, síodúil
😒	aghaidh mhíshásta, cgl, dubh dóite, míshásta, straoiseog mhíshásta
🙄	aghaidh, ar nós mo dhuine, céard sa diabhal, pé rud a deir tú féin, straoiseog le súile ag casadh, suas chun na bhflaitheas, súile
😬	ag miongháire, aghaidh, grainc, strainc, straoiseog le cár uirthi
😮‍💨	aghaidh ag análú, anáil, cnead, cogar, faoiseamh, ochlán, séideadh, traochta
🤥	aghaidh, bréag, bréaga, pinocchio, straoiseog ag insint bréag
🫨	aghaidh, aghaidh ag croitheadh, aghaidh croitheadh, crith, crith talún, croitheadh, turraing
🙂‍↔	ceann ag croitheadh go cothrománach, croith, croitheadh ceann go cothrománach, ní hea
🙂‍↕	croitheadh ceann go hingearach, croth, sea
😌	aghaidh, faoiseamh, straoiseog a bhfuil faoiseamh uirthi, síocháin, zen
😔	brónach, dubh dóite, díomách, machnamhach, smaointeach, straoiseog mhachnamhach
😪	aghaidh, brónach, caoineadh, codladh, straoiseog chodlatach, tuirseach
🤤	aghaidh, prislíneacht, straoiseog ag prislíneacht, éadan
😴	am luí, codladh, ina chodladh, néal codlata, oíche mhaith, straoiseog ina codladh, suan, tuirseach, zz, zzz, zzzz
🫩	aghaidh le sprochaillí faoi na súile, codlatach, traochta, tuirseach
😷	aghaidh agus masc uirthi, breoite, dochtúir, fiaclóir, fuar, leigheas, masc, masc máinliachta, straoiseog le masc leighis, tinn
🤒	aghaidh, aghaidh le teirmiméadar, breoite, go dona, straoiseog le teirmiméadar, teirmiméadar, tinn
🤕	aghaidh, aghaidh le bindealán ar a cheann, bindealán, dochar, gortaithe, pian, straoiseog le bindealán ar a ceann
🤢	aghaidh, breoite, fonn múisce, masmas, straoiseog bhreoite, tinn
🤮	aghaidh ag cur amach, aiseag, déistin, gránna, masmas, straoiseog ag cur amach, tinn, urlacan
🤧	aghaidh, breoite, sraoth, straoiseog ag sraotharthach
🥵	ag cur allais, ag fáil bháis, aghaidh, an-te, análú trom, dearg-ghnúiseach, fiabhrasach, straoiseog the, stróc, teanga amuigh, teas
🥶	aghaidh, aghaidh fhuar, aghaidh ghorm, bior seaca, briogadán, coinlín reo, coinlíní reo, dó seaca, faoi náid chéim, fuar, gorm, préachta, reodóga, reoite, sioc, straoiseog fhuar, straoiseog ghrom
🥴	ar meisce, béal corrach, meabhránach, siabhrán, straoiseog trína chéile, súile míchothroma, ólta
😵	aghaidh, breoite, meadhrán, meadhránach, straoiseog mheadhránach, tuirseach
😵‍💫	aghaidh le súile bíse, bís, hiopnóisithe, meadhránach, mearaithe, preach, trioblóid, whoa
🤯	baineadh geit asam, croitheadh bainte, pléascadh, straoiseog lena ceann ag pléasadh, suaite
🤠	aghaidh, buachaill bó, cailín, hata, hata buachaill bó, straoiseog le hata buachaill bó
🥳	ceiliúradh, corn, cóisir, fleá, féile, hata, hurá, iontach, lá breithe, lá breithe sona, sceitimíní, spraoi, straoiseog chóisireachta, tógtha
🥸	aghaidh, bréagriocht, croiméal, malaí, spéaclaí, srón, straiseog faoi bhréagriocht, straoiseog, straoiseog faoi bhréagriocht
😎	ar do shuaimhneas, ar fheabhas, meangadh gáire, spéaclaí gréine, straoiseog ag gáire le spéaclaí gréine
🤓	aghaidh, aghaidh saoithíneach, aibí, amaideach, ciotachán, cliste, gaoiseach, geocach ríomhaire, saineolaí, saoithín, spéaclaí, straoiseog shaoithíneach, éirimiúil
🧐	aghaidh le leathspéacla, leathspéacla, saibhir, straoiseog le leathspéacla, uasaicmeach
😕	brónach, measctha, nílim cinnte, straoiseog mhearaithe, trína chéile
🫤	amhrasach, is cuma, neamhshuim, straoiseog le béal fiarthrasna, trína chéile
😟	brónach, buartha, faoi strus, imní, neirbhíseach, straoiseog imníoch
🙁	aghaidh, brónach, grainc, straoiseog le mionghrainc uirthi
☹️	aghaidh, brónach, gnúis, grainc, gruig, grus, místá, púicín, straoiseog le grainc uirthi, éadan
😮	béal ar oscailt, dearmad déanta air, dochreidte, ionadh, straoiseog le béal oscailte
😯	gbdo, ionadh, iontas, straoiseog ina tost, straoiseog thostach
😲	ionadh, iontas, straoiseog iontais
😳	aghaidh dhearg, aghaidh lasta, ionadh, mearbhall, straoiseog dhearg, te, teas, trí chéile, tógtha
🥺	ag impí, aghaidh, brónach, impigh, impí, le do thoil, straoiseog impíoch, súile coileáin, súile móra, trócaire
🥹	deora áthais, led thoil, straoiseog ag coinneáil siar na deora, á
😦	aghaidh, ar oscailt, béal, grainc, iontas, púic, straoiseag ghruama le béal oscailte, straoiseog ghruama le béal oscailte
😧	aghaidh, cráite, faoi strus, míshásta, straoiseog chráite
😨	buartha, eagla, faitíos, straoiseog eaglach
😰	aghaidh, allas, brostaigh, béal, faoi dheifir, fuar, fuarallas, gorm, oscailte, scanraithe, straoiseog fhaiteach le hallas, éadan
😥	allas, cinneadh crua, díomá, faoiseamh, straoiseog a bhfuil díoma ach le faoiseamh, straoiseog a bhfuil díoma agus faoiseamh uirthi, straoiseog a bhfuil díomá agus faoiseamh uirthi, straoiseog dhíomá, suaimhneas intinne
😢	ag gol, caoineadh, deora, gol, míshásta, straoiseog chaointeach, uafásach
😭	brónach, caoineadh go hard, deora, gol go hard, míshásta, straoiseog ag caoineadh os ard, straoiseog chaointeach os ard
😱	ag screadaíl, aghaidh, aghaidh ag screadach le heagla, béic, coscrach, eagla, faitíos, munch, scanradh, scanraithe, sceimhle, scread, scéin, straoiseog ag béiceach amach le heagla, uafás, uamhan, éadan, éamh
😖	ar buile, brónach, frustrachas, mearbhall, straoiseog le mearbhall uirthi, trí chéile
😣	buanseasmhach, dianmhachnamh, leanaim orm, pian sa cheann, straoiseog bhuanseasmhachta, straoiseog dhíocasach
😞	dobrónach, díomá, míshásta, straoiseog dhíomách, uafásach
😓	brónach, fuarallas, imní, neirbhíseach, straoiseog in ísle brí le fuarallas
😩	ag caoineadh, míshásta, ocrach, straoiseog thraochta, tuirse, tuirseach
😫	aghaidh, brónach, costas, sraoth, straoiseog thuirseach, tuirseach
🥱	aghaidh ag méanfach, am codlata, ar nós cuma liom, dubh dóite, leamh, méanfach, straoiseog ag méanfach, tuirseach, zz, zzz, zzzz
😤	bua, fearg, mórtas, straoiseog le gal ón tsrón
😡	aghaidh, fearg, feargach, pus, smut, straoiseog le puisín uirthi, straoiseog pus
😠	fearg, straoiseog fheargach
🤬	ar buile, eascainí, straoiseog le siombailí ar an mbéal
😈	adharca, diabhlaí, meangadh gáire, miongháire, straoiseog ag gáire le hadharca, straoiseog ag miongháire le hadharca
👿	an t-olc, deamhan, diabhal, diaibhlín, straoiseog fheargach le hadharca
💀	aghaidh, arracht, blaosc, bás, marbh, síscéal, tá mé marbh
☠️	aghaidh, arracht, blaosc, blaosc agus croschnámah, blaosc agus croschnámha, bloasc agus cnámha crosáilte, bás, marbh
💩	cac, cac asail, cacamas, carn caca, raiméis, truflais
🤡	aghaidh, bean ghrinn, fear grinn, fearr grinn, gáire
👹	Seapánach, aghaidh, arrachtach, fathach, scanrúil, síscéal
👺	Seapánach, aghaidh, aghaidh fidil, arrachtach, gruagach, síscéal, éadan
👻	aghaidh, arracht, púca, samhain, síscéal, taibhse
👽️	arracht, eachtardhomhandach, eachtrán, úfó
👾	arracht, arracht eachtráin, cluiche, cluichí, eachtrán, eachtrán arrachtaigh, picteilíní, úfó
🤖	aghaidh, arracht, róbat
😺	aghaidh, ainmhí, cat, cat ag miongháire, meangadh, mionngháire, oscailte
😸	aghaidh, ainmhí, cat, meangadh, miongháire, straoiseog cait le súile le miongháire, súil
😹	ag gáire, aghaidh, ainmhí, cat, deora, gáire, straoiseog cait le deora áthais, áthas
😻	cat, croí, grá, meangadh, straoiseog cait le croíthe ina súile, súil
😼	aghaidh, ainmhí, cat, dóite, meangadh, straoiseog cait le miongháire dóite, íoróineach
😽	aghaidh, ainmhí, cat, cat ag pógadh, póg, súil
🙀	aghaidh, ainmhí, cat, cat tuirseach, iontas, oh, tuirseach
😿	aghaidh, ainmhí, brón, cat, cat ag gol, deora, gol
😾	aghaidh, ainmhí, cat, cat le puisín air, puisín
🙈	ainmhí, moncaí, moncaí nach bhfeiceann aon olc, ná feic aon olc
🙉	ainmhí, moncaí, moncaí nach gcloiseann aon olc, ná clois aon olc
🙊	ainmhí, moncaí, moncaí nach labhraíonn faoin olc, moncaí nach ndeir aon olc, ná labhair faoin olc
💌	croí, grá, litir, litir ghrá
💘	coinne, croí agus saighead, grá, mothúchán, saighead
💝	143, cothrom lae, croí, croí le ribín, cuimhneachán, mothúchán, póga, ribín, vailintín, xoxo
💖	143, croí, croí ag lonrú, grá, mo ghrá thú, mothúchán, oíche mhaith, póganna, xoxo
💗	croí, croí ag fás, grá, mothúchán, neirbhíseach, xoxo
💓	croí, croí ag preabadh, cuisle, grá, mothúchán, preabadh
💞	comóradh lae, croíthe, croíthe ag rothlú, mothúchán
💕	coinne, comóradh, dhá chroí, grá, mothúchán, xoxo
💟	croí, croí corcra, maisiúchán croí, mothúchán
❣️	comhartha uaillbhreasa croí, marc, poncaíocht
💔	brón, croí, croíbhriste, mothúchán, uaigneach
❤‍🔥	croí, croí naofa, croí trí thine, drúis, dó, grá
