‾	línia alta, línia superposada, sobreratllat
↧	fletxa des d’una barra cap avall
↨	fletxa amunt i avall amb una base
↫	fletxa cap a l’esquerra amb bucle
↬	fletxa cap a la dreta amb bucle
↭	fletxa esquerra i dreta ondulada
↯	fletxa cap avall en zig-zag, zig-zag, ziga-zaga
↰	fletxa cap amunt amb punta cap a l’esquerra
↱	fletxa cap amunt amb punta cap a la dreta
↲	fletxa cap avall amb punta cap a l’esquerra
↳	fletxa cap avall amb punta cap a la dreta
↴	fletxa curta cap a la dreta amb punta cap avall
↵	fletxa curta cap avall amb punta cap a l’esquerra
↶	fletxa semicircular superior antihorària
↷	fletxa semicircular superior en sentit horari
↸	fletxa cap al nord-oest amb barra llarga
↹	fletxa esquerra sobre dreta amb barra
↺	fletxa circular oberta en sentit antihorari
↻	fletxa circular oberta en sentit horari
↼	arpó cap a l’esquerra amb dent a sobre, dent
↽	arpó cap a l’esquerra amb dent a sota
↾	arpó cap amunt amb dent a la dreta, dent
↿	arpó cap amunt amb dent a l’esquerra, dent
⇀	arpó cap a la dreta amb dent a sobre, dent
⇁	arpó cap a la dreta amb dent a sota, dent
⇂	arpó cap avall amb dent a la dreta, dent
⇃	arpó cap avall amb dent a l’esquerra, dent
⇄	fletxa dreta per sobre d’una fletxa esquerra
⇅	amunt, avall, fletxa, fletxes que apunten cap amunt i cap avall
⇆	dreta, esquerra, fletxa, fletxa que apunta cap a l’esquerra sobre una fletxa que apunta cap a la dreta, fletxes cap a l’esquerra i la dreta
⇇	dues fletxes cap a l’esquerra
⇈	dues fletxes cap amunt
⇉	dues fletxes cap a la dreta
⇊	dues fletxes cap avall
⇋	arpó esquerre per sobre d’un arpó dret
⇌	arpó dret per sobre d’un arpó esquerre
⇐	fletxa doble cap a l’esquerra
⇍	fletxa doble cap a l’esquerra amb traç
⇑	fletxa doble cap amunt
⇒	fletxa doble cap a la dreta
⇏	fletxa doble cap a la dreta amb traç
⇓	fletxa doble cap avall
⇔	fletxa doble cap a l’esquerra i la dreta
⇎	fletxa doble esquerra i dreta amb traç
⇖	fletxa doble cap al nord-oest
⇗	fletxa doble cap al nord-est
⇘	fletxa doble cap al sud-est
⇙	fletxa doble cap al sud-oest
⇚	fletxa triple cap a l’esquerra
⇛	fletxa triple cap a la dreta
⇜	fletxa en ziga-zaga cap a l’esquerra
⇝	fletxa en ziga-zaga cap a la dreta
⇞	fletxa cap amunt amb doble traç
⇟	fletxa cap avall amb doble traç
⇠	fletxa puntejada cap a l’esquerra
⇡	fletxa puntejada cap amunt
⇢	fletxa puntejada cap a la dreta
⇣	fletxa puntejada cap avall
⇤	fletxa cap a l’esquerra amb barra
⇥	fletxa cap a la dreta amb barra
⇦	fletxa buida cap a l’esquerra
⇧	fletxa buida cap amunt
⇨	fletxa buida cap a la dreta
⇩	fletxa buida cap avall
⇪	fletxa buida cap amunt des d’una barra
⇵	fletxa esquerra cap avall i dreta cap amunt
∀	cert, per a tot, qualsevol, tot, universal
∂	derivada parcial, diferencial
∃	existeix
∅	conjunt buit, matemàtiques, operador de conjunt
∆	increment, triangle
∇	nabla, triangle
∈	conjunt, conté, element, element de, pertany a
∉	element, no és un element
∋	conté com a membre, element
∎	final de prova
∏	lògica, producte, producte d’operador n
∑	matemàtiques, sumatòria, sumatòria d’operador n
+	més, signe més, suma
±	signe de més o menys
÷	dividir, divisió, divisor, signe de divisió
×	multiplicació, multiplicador, multiplicar, signe de multiplicació
<	etiqueta, inferior a, menor que, més petit que, obertura
≮	desigualtat, matemàtiques, no menor que
=	equival a, igual
≠	desigualtat, inequació, no és igual que
>	etiqueta, major que, més gran que, superior a, tancament
≯	desigualtat, matemàtiques, no major que
¬	negació, no
|	barra vertical, línia vertical, pleca
~	titlla
−	menys, resta, signe menys
⁻	resta, superíndex, superíndex resta
∓	més menys, més o menys
∕	barra, barra de divisió
⁄	barra, barra de fracció
∗	asterisc, operador asterisc
∘	composició, operador, operador anell
∙	operador vinyeta, vinyeta
√	arrel, arrel quadrada, quadrat, radical, signe d’arrel
∝	proporcional, proporcionalitat
∞	infinit, signe d’infinit
∟	angle recte, matemàtiques
∠	agut, angle
∣	divideix, divisor
∥	paral·lel
∧	I lògic
∩	conjunt, intersecció
∪	col·lecció, conjunt, unió
∫	càlcul, integral
∬	càlcul, integral doble
∮	integral de contorn
∴	lògica, per tant
∵	lògica, perquè
∶	relació
∷	proporcionalitat, proporció
∼	operador, operador titlla
∽	titlla, titlla invertida
∾	s inclinada invertida
≃	asímptota, igual asimptòtic, matemàtiques
≅	congruència, igual aproximat, igualtat, isomorfisme, matemàtiques
≈	aproximació, aproximadament igual a
≌	igualtat, matemàtiques, tot igual a
≒	aproximadament igual que la imatge
≖	anell dintre del signe d’igual, igualtat, matemàtiques
≡	exacte, idèntic, idèntic a, triple
≣	estrictament equivalent, igualtat, matemàtiques
≤	antilambda, desigualtat, igual, inferior, menor o igual a, menor que, més petit que
≥	antilambda, desigualtat, igual, major o igual a, major que, més gran que, superior
≦	desigualtat, matemàtiques, menor que a sobre del signe d’igual
≧	desigualtat, major que a sobre del signe d’igual, matemàtiques
≪	desigualtat, matemàtiques, molt menor que
≫	desigualtat, matemàtiques, molt major que
≬	entre
≳	desigualtat, major que equivalent, matemàtiques
≺	matemàtiques, operador de conjunt, precedeix
≻	matemàtiques, operador de conjunt, succeeix
⊁	matemàtiques, no succeeix, operador de conjunt
⊂	conjunt, subconjunt, subconjunt de
⊃	matemàtiques, operador de conjunt, supraconjunt
⊆	subconjunt igual
⊇	igualtat, matemàtiques, supraconjunt igual
⊕	signe més, signe més encerclat
⊖	diferència simètrica, erosió, signe menys encerclat
⊗	producte, signe de multiplicació encerclat, tensor
⊘	barra de divisió encerclada, divisió, matemàtiques
⊙	XNOR, operador, operador punt encerclat
⊚	operador anell encerclat
⊛	asterisc, operador, operador asterisc encerclat
⊞	matemàtiques, signe més en un quadrat, suma
⊟	matemàtiques, resta, signe menys en un quadrat
⊥	tatxa cap amunt
⊮	no força
⊰	matemàtiques, operador de conjunt, precedeix en la relació
⊱	matemàtiques, operador de conjunt, succeeix en la relació
⋭	matemàtiques, no conté com un subgrup normal igual, teoria de grups
⊶	original
⊹	matemàtiques, matriu hermítica conjugada, matriu quadrada
⊿	matemàtiques, triangle d’angle recte, triangle rectangle
⋁	O lògic d’operador n, disjunció, lògica
⋂	intersecció, intersecció d’operador, intersecció d’operador n, matemàtiques, operador de conjunt
⋃	matemàtiques, operador de conjunt, unió, unió d’operador, unió d’operador n
⋅	operador, operador punt
⋆	operador, operador estrella
⋈	operador binari, unió natural
⋒	intersecció doble, intersescció, matemàtiques, operador de conjunt
⋘	considerablement menor que, desigualtat, matemàtiques
⋙	considerablement major que, desigualtat, matemàtiques
⋮	el·lipsi, el·lipsi vertical, matemàtiques
⋯	el·lipsi, el·lipsi horitzontal volada
⋰	el·lipsi, el·lipsi diagonal cap amunt a la dreta, matemàtiques
⋱	el·lipsi, el·lipsi diagonal cap avall a la dreta, matemàtiques
■	quadrat ple
□	quadrat buit
▢	quadrat buit amb els angles arrodonits
▣	quadrat buit amb un quadrat ple a l’interior
▤	quadrat amb ratlles horitzontals
▥	quadrat amb ratlles verticals
▦	quadrat quadriculat perpendicularment
▧	quadrat ratllat de dalt esquerra a baix dreta
▨	quadrat ratllat de baix esquerra a dalt dreta
▩	quadrat quadriculat diagonalment
▬	rectangle ple
▭	rectangle buit
▮	rectangle vertical ple
▰	paral·lelogram ple
▲	amunt, fletxa, ple, triangle, triangle ple que apunta cap amunt
△	triangle buit cap amunt
▴	triangle petit ple cap amunt
▵	triangle petit buit cap amunt
▷	triangle buit cap a la dreta
▸	triangle petit ple cap a la dreta
▹	triangle petit buit cap a la dreta
►	punter ple cap a la dreta
▻	punter buit cap a la dreta
▼	avall, fletxa, ple, triangle, triangle ple que apunta cap avall
▽	triangle buit cap avall
▾	triangle petit ple cap avall
▿	triangle petit buit cap avall
◁	triangle buit cap a l’esquerra
◂	triangle petit ple cap a l’esquerra
◃	triangle petit buit cap a l’esquerra
◄	punter ple cap a l’esquerra
◅	punter buit cap a l’esquerra
◆	rombe ple
◇	rombe buit
◈	rombe buit amb un rombe ple a l’interior
◉	cercle buit amb un cercle ple a l’interior
◊	diamant, píndola, rombe
○	anell, cercle, cercle buit
◌	cercle puntejat
◍	cercle amb ratlles verticals
◎	cercles concèntrics, diana, doble cercle
●	cercle, cercle ple
◐	cercle amb la meitat esquerra plena
◑	cercle amb la meitat dreta plena
◒	cercle amb la meitat inferior plena
◓	cercle amb la meitat superior plena
◔	cercle amb el quadrant superior dret ple
◕	cercle amb el quadrant superior esquerre buit
◖	semicercle esquerre ple
◗	semicercle dret ple
◘	vinyeta invertida
◙	cercle buit invertit, quadrat ple amb un cercle buit a l’interior
◜	arc circular al quadrant superior esquerre
◝	arc circular al quadrant superior dret
◞	arc circular al quadrant inferior dret
◟	arc circular al quadrant inferior esquerre
◠	semicercle superior
◡	semicercle inferior
◢	triangle inferior dret ple
◣	triangle inferior esquerre ple
◤	triangle superior esquerre ple
◥	triangle superior dret ple
◦	vinyeta buida
◯	anell, cercle, cercle buit gran
◳	quadrat buit amb quadrant superior dret
◷	cercle buit amb quadrant superior dret
◿	triangle inferior dret
♪	corxera, música, nota
⨧	signe més amb el nombre dos en subíndex
⨯	producte creuat vector
⨼	producte interior
⩣	O lògic amb barra inferior doble
⩽	menor que o igual inclinat
⪍	menor que sobre igual similar
⪚	desigualtat, major que o igual de doble línia, matemàtiques
⪺	succeeix a sobre de no gairebé igual a
♭	bemoll, música, nota
♯	diesi, música, nota, sostingut
😀	alegre, animada, animat, cara, cara molt somrient, dents, feliç, rialla, somrient, somriure, ulls
😃	boca oberta, cara, cara molt somrient amb els ulls ben oberts, dents, feliç, genial, somriure, somriure obert, sí!
😄	boca, boca oberta, cara, cara amb rialla i els ulls somrients, feliç, rialla, riure, somriure, ull
😁	cara, cara molt somrient amb els ulls alegres, dents, feliç, gran somriure, simpàtic, simpàtica, somrient, ull, ulls
😆	boca, cara, cara somrient amb els ulls tancats fortament, feliç, ha ha ha!, oberta, petar-se de riure, satisfet, somrient, somriure, ulls tancats
😅	cara, cara somrient amb una gota de suor, emocionada, emocionat, estressada, estressat, estrès, nerviosa, nerviós, obert, somriure, suor, suor freda
🤣	cara, cara que es peta de riure, divertit, ha ha ha, hilarant, llàgrima, molt de riure, mort de riure, partir-se, petar-se de riure, pixar-se, plorar de riure, riure
😂	alegria, cara, cara amb llàgrimes d’alegria, divertida, divertit, feliç, llàgrimes, molt de riure, mort de riure, plorant, riure
🙂	cara, cara que somriu una mica, feliç, somrient, somriure, somriure tímid
🙃	cara, cara de cap per avall, ha ha ha, revés, somriure
🫠	acalorada, acalorat, calor, cara que es desfà, desaparèixer, desfer-se, dissoldre’s, fondre’s, haha, líquid, sarcasme, vergonya
😉	cara, cara que pica l’ullet, flirteig, picar l’ullet, provocar, sexy, trencacors, ullet, ullets
😊	cara, cara somrient amb els ulls alegres, content, contenta, galtes vermelles, rubor, satisfet, satisfeta, somrient, somriure, ull
😇	Bíblia, angelet, aurèola, cara somrient amb aurèola, conte de fades, fantasia, halo, innocent, pacífic, pacífica, sant, santa, somrient
🥰	amor, aventura, cara, cara somrient amb 3 cors, cara somrient amb cors, cor, cors, enamorada, enamorament, enamorat, estimar moltíssim, somriure, t’estimo
😍	amor, amorosa, amorós, aventura, cara, cara somrient amb ulls en forma de cor, cor, cors, cors als ulls, enamorada, enamorat, romàntic, romàntica, sentiments, somriure, tendra, tendre, t’estimo, ulls, ulls en forma de cor
🤩	apa!, cara, cara amb estrelles als ulls, emocionada, emocionat, estrella, somrient, somriure, ulls, ulls amb estrelles
😘	adorables, amor, aventura amorosa, bon dia, bona nit, cara, cara que llança un petó, cor, et trobo a faltar, flirteig, muac, petonejar-se, petons i abraçades, petó, t’estimo
😗	amor, cara, cara que fa un petó, cita, flirteig, petonejar-se, petons, petons i abraçades, petó, t’estimo
☺️	cara, cara somrient, feliç, relaxada, relaxat, somrient, somriure
😚	cara, cara que fa un petó amb els ulls tancats, cita, flirteig, petonejar-se, petons, petó, rubor, t’estimo, ulls tancats
😙	amor, cara, cara que fa un petó amb els ulls alegres, cita, flirteig, nit, petons, petó, somriure, t’estimo, ull, ulls alegres, ulls tancats
🥲	agraïment, alleujament, cara, cara somrient amb una llàgrima, emoció, llàgrima, orgull, smiley, somriure
😋	afamada, afamat, assaborir, cara, cara d’assaborir un menjar deliciós, cara que assaboreix menjar, deliciosa, deliciós, gustosa, gustós, llengua, llépol, menjar, nyam, somrient, somriure
😛	cara, cara que fa llengotes, dolç, dolça, excel·lent, festa, genial, guai, llengota, llengua, llengua fora
😜	cara, cara que fa llengotes i pica l’ullet, diversió, divertida, divertit, estrafolari, estrafolària, festa, llengota, llengua, ull, ullet
🤪	boig, boja, cara de bogeria, ull, ull gran, ull petit, ulls
😝	Déu meu, cara, cara amb els ulls tancats i la llengua fora, cara que fa llengotes i amb els ulls tancats, ecs, el que sigui, fastigós, horrible, llengota, llengua, només es viu una vegada, sabor, ull, ulls tancats
🤑	boca, cara, cara de diners, diners, llengua, pagat, ulls
🤗	abraçada, abraçant, cara, cara amb abraçada, mans
🤭	adonar-se sobtadament, ai!, cara amb la mà sobre la boca, riure ximplet, secret, sorpresa, tapant-se la boca, tenir el riure ximplet, ups, xoc
🫢	al·lucinar, callar, cara amb els ulls oberts i la mà sobre la boca, cara amb ulls oberts i mà sobre la boca, estupefacció, incredulitat, increïble, por, sorpresa, vergonya
🫣	amagar-se, cara tapada que espia amb un ull, espiar, fascinació, mirada, mirar, por, timidesa, vergonya
🤫	callar, cara que demana silenci, psit, pst, silenci
🤔	barbeta, cara, cara pensativa, considerar, curiosa, curiós, mentó, mmm, pensant, pensatiu, pensativa, reflexionant, reflexionar
🫡	bona sort, cara que saluda, exèrcit, ordre, respecte, salutació, sí, sí, senyor, sí, senyora, val
🤐	boca, boca tancada, callada, callat, cara, cara amb cremallera a la boca, cremallera, mantenir la boca tancada, secret, silenci
🤨	cara amb una cella aixecada, desaprovació, desconfiada, desconfiat, escepticisme, escèptic, escèptica, incredulitat, sorpresa
😐️	bé, cara, cara neutra, cara seriosa, en blanc, gelosa, gelós, inexpressiu, inexpressiva, infeliç, neutral, no impressiona, no és divertit, no és per riure
😑	Déu meu, bàsic, bàsica, cara, cara de pòquer, cara inexpressiva, dolent, dolenta, gelosa, gelós, incòmoda, incòmode, inexpressiu, inexpressiva, inexpressió, infeliç, mort, morta, no, oh!, què coi
😶	callada, callat, cara, cara sense boca, en blanc, inexpressiu, inexpressiva, secret, sense boca, sense paraules, silenci, silenciosa, silenciós
🫥	amagar-se, cara amb línia de punts, depressió, desaparèixer, introversió, invisible, m’és igual
😶‍🌫	cap als núvols, cara entre núvols, distracció, distret
😏	broma, cap, cara, cara que somriu amb superioritat, cara somrient amb superioritat, celles, fatxenda, flirteig, mirada impúdica, murri, múrria, riure per sota el nas, somriure astut, somriure de manera afectada, superioritat
😒	avorrida, avorriment, avorrit, cara, cara de desaprovació, desaprovació, emprenyada, emprenyat, estrany, estranya, gelosa, gelós, infeliç, negació amb el cap, no és divertit, que coi
🙄	cara, cara amb els ulls en blanc, el que sigui, en blanc, ulls, ulls en blanc
😬	cara, cara que fa una ganyota amb les dents, dentista, dents, estrany, ganyota, res, somrient
😮‍💨	alleujament, cara que exhala, exhalar, exhaust, xiulet, xiuxiueig
🤥	Pinotxo, cara, cara de mentider, mentider, nas
🫨	cara, cara que tremola, caram, pànic, sorpresa, terratrèmol, tremolar, tremolor, vibració, vibrar, xoc
🙂‍↔	cap que tremola horitzontalment, negació, no, tremolar, tremolor
🙂‍↕	afirmació, cap que tremola verticalment, sí, tremolar, tremolor
😌	alleugerida, alleugerit, alleujada, alleujament, alleujat, calma, cara, cara d’alleujament, zen
😔	abatuda, avorrida, avorrit, cara, cara desanimada, decebuda, decebut, desanimada, desanimat, pensatiu, pensativa, perduda, perdut, que malament, trist, trista
😪	cansada, cansat, cara, cara de son, dormint, dormir, plorant, son, trist, trista
🤤	bava, bavejant, cara, cara que baveja
😴	badall, badallar, becaina, bona nit, cansada, cansat, cara, cara de dormir, cara de son, dormint, dormir, el que sigui, hora de dormir, llit, son, zz, zzz
🫩	cansament, cara que fa ulleres, cara ullerosa, esgotament, son
😷	Dr., Dra., cara, cara amb mascareta, cara amb màscara, dentista, dermatòleg, dermatòloga, doctor, doctora, gèrmens, malalt, malalta, malaltia, mascareta, medecina, màscara, refredat
🤒	cara, cara amb termòmetre, malalt, malalta, malaltia, termòmetre
🤕	ai, bena, cap embenat, cara, cara amb el cap embenat, ferida, ferit, lesió
🤢	cara, cara de nàusees, mareig, marejada, marejat, nàusea, repugnant, vomitar
🤮	cara, cara que vomita, fastigós, marejada, marejat, repugnant, vomitar, vòmit
🤧	cara, cara que esternuda, constipat, esternudant, esternut, febre, malalt, malalta, mocs, salut
🥵	calor, cara de calor, cara vermella, cop de calor, febre, febril, fogots, insolació, suada, suat, suor
🥶	blau, blava, cara blava, cara de fred, caramell, caramells, congelació, dents fredes, fred, gel, gelada, gelat, glaçada, glaçat
🥴	beguda, begut, boca ondulada, cara de mareig, embriac, embriaga, intoxicada, intoxicat, mareig, marejada, marejat, ulls desiguals
😵	cansada, cansat, cara, cara marejada, malalt, malalta, marejada, marejat, mort, morta
😵‍💫	Déu meu, cara amb ulls d’espiral, confosa, confós, espiral, hipnosi, mareig, marejada, marejat, ostres, problema, vaja
🤯	cap que explota, estupefacta, estupefacte, explotar, impossible, impressionada, impressionat, sorpresa, sorprès
🤠	barret, cara, cara amb barret de vaquer, cowboy, vaquer, vaquera
🥳	aniversari, barret, cara festiva, celebració, celebrar, emocionada, emocionat, espanta-sogres, festa, hurra, per molts anys
🥸	bigoti, cara, cara disfressada, celles, disfressa, incògnit, mostatxo, nas, persona, ulleres
😎	cara, cara somrient amb ulleres de sol, estil, fatxenda, genial, impressionant, platja, relaxada, relaxat, sol, somriure, sí, ulleres, victòria
🤓	aplicada, aplicat, cara, cara de setciències, estudiar, estudiosa, estudiós, intel·ligent, rata de biblioteca, setciències, ulleres
🧐	amb classe, cara amb monocle, estirada, estirat, monocle, ric, rica
😕	arrufada, cara, cara de confusió, confosa, confusió, confós, ho sento, m’és igual, ni idea, no ho sé, trist, trista, um um
🫤	cara amb la boca en diagonal, cara de decepció, cara d’escepticisme, cara d’inseguretat, confusió, confós, decepcionat, dubte, dubtós, escèptic, frustració, frustrat, insegur, meh, m’és igual
😟	cara, cara de preocupació, estrès, nerviosa, nervis, nerviós, preocupació, preocupada, preocupat, sorpresa, sorprès
🙁	cara, cara una mica arrufada, emmurriada, emmurriat, empipada, empipat, trist, trista
☹️	cara, cara arrufada, emmurriada, emmurriat, empipada, empipat, enfadada, enfadat, trist, trista
😮	apa!, boca, bocabadada, bocabadat, cara, cara amb la boca oberta, estupefacta, estupefacte, increïble, no et crec, oberta, sorpresa, sorprès
😯	Déu meu, atònit, atònita, cara, cara de sorpresa, oh!, sorpresa, sorprès, èpic
😲	Déu meu!, I ara!, cara, cara estupefacta, escandalitzada, escandalitzat, estupefacta, estupefacte, que coi!, totalment
😳	apa!, avergonyida, avergonyit, cara, cara enrojolada, culpa, enrojolada, galtes vermelles, impressionada, impressionat, incredulitat, incòmoda, incòmode, vergonya
🥺	cara, cara de súplica, compassió, per què no, pietat, si us plau, sispli, suplicar, súplica, trist, trista, ulls de cadell, ulls grans
🥹	admiració, agraït, avergonyit, cara que s’aguanta les llàgrimes, dolor, emoció, enuig, gratitud, llàgrimes d’alegria, oh, orgull, resistir, sentiments, si us plau
😦	agafar per sorpresa, apa!, arrufada, boca, cara, cara emmurriada amb la boca oberta, emmurriada, esgarrifada, esgarrifat, espantada, espantat, oberta, què, sorpresa
😧	angoixa, angoixada, angoixat, cara, cara d’angoixa, espantada, espantat, estressada, estressat, infeliç, sopresa
😨	atemorida, atemorit, cara de por, espantada, espantat, por, preocupada, preocupat
😰	boca, boca oberta, cara, cara amb la boca oberta i suor freda, espantada, espantat, nerviosa, nervis, nerviós, suor, suor freda
😥	alleujament, cara, cara de decepció, cara de decepció, però alleujada, complicada, complicat, decebuda, decebut, decepció, preocupada, preocupat, suor, uf
😢	cara, cara que plora, infeliç, llàgrimes, plorant, plorar, sentiments, terrible, trist, trista, trobar a faltar
😭	bramar, cara, cara que plora desconsoladament, infeliç, llàgrima, llàgrimes de desconsol, plorant, plorar, sanglot
😱	Munch, cara, cara que crida de por, crit de por, espantada, espantat, por, pànic, sorpresa, sorprès, temorosa, temorós, terror
😖	cara, cara de frustració, confosa, confós, encongir-se, frustració, frustrada, frustrat, furiosa, furiós, molest, molesta, sentiments, torbada, torbat, trist, trista
😣	cara, cara de perseverança, centrar-se, concentració, concentrar-se, mal de cap, perseverança, perseverar
😞	abatuda, abatut, cara, cara de decepció, culpa, decebuda, decebut, decepció, fracàs, infeliç, perdedor, perdedora, terrible, trist, trista
😓	cara, cara amb suor freda, espantada, espantat, mal de cap, nerviosa, nerviós, sentiments, suor, suor freda, trist, trista, uf
😩	afamada, afamat, cansada, cansat, cara, cara d’esgotament, esgotada, esgotament, esgotat, fracàs, infeliç, no, plorant, sentiments, somnolent, somnolenta, trist, trista
😫	becaina, cansada, cansament, cansat, cara, cara de cansament, sentiments, trist, trista
🥱	adormida, adormit, avorriment, badall, becaina, bona nit, cansada, cansament, cansat, cara, cara que badalla, zzz
😤	cara, cara que treu fum del nas, enfadada, enfadat, enrabiada, enrabiat, fum, furiosa, furiós, fúria, infeliç, ira, nas, sentiments
😡	cara, cara enutjada, cara vermella, enutjada, enutjat, furiosa, furiós, ira, irritant, ràbia, sentiments, vermell
😠	cara, cara enfadada, culpa, empipada, empipat, enfadada, enfadat, frustrada, frustrat, furiosa, furiós, infeliç, ira
🤬	cara amb símbols a la boca, censurar, emprenyada, emprenyat, furiosa, furiós, insults, maledicció, paraulotes, renecs
😈	banyes, cara, cara somrient amb banyes, conte de fades, dimoni, fantasia, foscor, malvat, somriure
👿	cara, cara enfadada amb banyes, conte de fades, diable, dimoni, dimoniet, entremaliada, entremaliat, fantasia, malvada, malvat, trapella
💀	calavera, cara, conte, crani, estic mort, estic morta, ha ha ha, monstre, mort, morta, només es viu una vegada
☠️	calavera, cara, crani, crani amb ossos, monstre, mort, os, ossos
💩	caca, caca amb ulls, cara, còmic, fa pudor, fer pudor, merda, monstre, pudent, pudenta, ulls
🤡	cara, cara de pallasso, pallassa, pallasso
👹	cara, conte, conte de fades, criatura, dimoni, esgarrifós, fantasia, japonès, monstre, màscara, ogre, ogre japonès
👺	cara, conte, conte de fades, criatura, enfadat, fantasia, follet, follet japonès, japonès, malvat, monstre, màscara
👻	Halloween, agitada, agitat, aparició, buu, cara, cara de fantasma, conte, conte de fades, criatura, esgarrifós, fantasia, fantasma, monstre, ximple
👽️	alienígena, cara, conte de fades, criatura, espai, extraterrestre, fantasia, monstre, ovni
👾	alienígena, conte de fades, extraterrestre, fantasia, invasors de l’espai, joc, jocs, jugador, monstre, monstre alienígena, ovni, pixelat, àlien
🤖	cara, cara de robot, monstre, robot
😺	animal, boca, cara, gat, gat somrient amb la boca oberta, oberta, somrient, somriure
😸	animal, cara, gat, gat somrient amb els ulls alegres, somrient, somriure obert, ulls alegres
